Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,TAO DETERGENT BAR 90 GM (144X1),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO DISH WASH 150 GM (80X1),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO DISH WASH 700 GM (12X1),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO DISH WASH 90 GM (144X1),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO DISH WASH 400 GM (400X24),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO FLOOR CLEANER 500 ML (24X1),FLOOR CLEANER,,,0,Y,N,,,,,,,,0
,,PANCH MUKHI SALT 1KG (25KG),SALT PRODUCTS,,,0,Y,N,,,,,,,,0
,,PANCHMUKHI SALT 1/2 KG (25 KG),SALT PRODUCTS,,,0,Y,N,,,,,,,,0
,,SODA LOOSE,SODA PRODUCTS,,,0,Y,N,,,,,,,,0
,,TAO 12 GM (900X1),TAO,,,0,Y,N,,,,,,,,0
,,TAO 175 GM (61X1),TAO,,,0,Y,N,,,,,,,,0
,,TAO 1KG (25X1),TAO,,,0,Y,N,,,,,,,,0
,,TAO 500 GM (50X1),TAO,,,0,Y,N,,,,,,,,0
,,TAO 75 GM (122X1),TAO,,,0,Y,N,,,,,,,,0
,,TAO PLUS 400 GM (30X1),TAO PLUS,,,0,Y,N,,,,,,,,0
,,TAO PLUS 800 GM (24X1),TAO PLUS,,,0,Y,N,,,,,,,,0
,,TAO SCRUBER RS 10/-,SCRUBBER,,,0,Y,N,,,,,,,,0
,,TAO SCRUBER RS 15/-,SCRUBBER,,,0,Y,N,,,,,,,,0
,,TAO SCRUBER RS 5/-,SCRUBBER,,,0,Y,N,,,,,,,,0
,,TAO STEEL WOOL RS 15/-,SCRUBBER,,,0,Y,N,,,,,,,,0
,,Soda 1kg,SODA PRODUCTS,,,0,Y,N,,,,,,,,0
,,Soda 500g,SODA PRODUCTS,,,0,Y,N,,,,,,,,0
,,Soda 200g,SODA PRODUCTS,,,0,Y,N,,,,,,,,0
,,TAO TOILET CLEANER 500 ML ( 24 X1),TOILET CLEANER,,,0,Y,N,,,,,,,,0
,,TAO DISH WASH 200 GM (200X48),DETERGENT CAKE,,,0,Y,N,,,,,,,,0
,,TAO 1KG (12X1),TAO,,,0,Y,N,,,,,,,,0
